Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Rua;lat;lon
Barra da Tijuca;2;0;1;80;2200.0;1200.0;156.0;Rua General Polidoro, 1469;-23.005137;-43.363453
Flamengo;1;0;0;30;1500.0;400.0;0.0;Rua Conde de Bonfim, 707;-22.934837;-43.17257
Ipanema;4;1;0;300;15000.0;2500.0;559.0;Rua General Polidoro, 658;-22.983808;-43.21192
Copacabana;5;0;0;160;3500.0;1500.0;230.0;Rua Visconde de Pirajá, 332;-22.967066;-43.182199
Glória;1;0;0;43;1500.0;510.0;48.0;Rua General Polidoro, 324;-22.912768;-43.180422
Rocha Miranda;2;1;0;50;1400.0;340.0;0.0;Avenida Álvaro Ramos, 831;-22.863617;-43.339516
Flamengo;2;1;2;140;4800.0;1250.0;338.0;Rua das Flores, 1390;-22.935801;-43.174557
Flamengo;1;1;0;44;1900.0;375.0;0.0;Avenida Visconde de Pirajá, 288;-22.934669;-43.1712
Ipanema;5;2;2;370;26000.0;3905.0;2371.0;Avenida Bolívar, 682;-22.978252;-43.2037
Barra da Tijuca;4;2;1;115;2800.0;1800.0;250.0;Avenida das Flores, 340;-23.002429;-43.370032
Praça Seca;2;1;1;60;700.0;538.0;0.0;Avenida das Camélias, 1237;-22.8926;-43.336882
Copacabana;3;1;0;100;3500.0;1450.0;237.0;Rua do Sacopã, 72;-22.967283;-43.179735
Flamengo;2;0;0;70;2500.0;635.0;119.0;Rua Timóteo da Costa, 572;-22.927128;-43.176412
Lagoa;4;2;1;255;8500.0;2529.0;490.0;Avenida São Clemente, 324;-22.976127;-43.204052
Pechincha;2;1;0;75;1700.0;675.0;0.0;Rua General San Martin, 823;-22.918579;-43.345844
Leblon;2;1;1;90;10000.0;3400.0;447.0;Avenida Timóteo da Costa, 1225;-22.98816;-43.222121
Vila da Penha;1;0;0;62;1200.0;505.0;0.0;Rua São João Batista, 1050;-22.836649;-43.316509
Jacarepaguá;2;1;1;65;1200.0;650.0;0.0;Rua Bolívar, 1094;-22.954388;-43.362087
Copacabana;3;2;3;350;11000.0;2500.0;1500.0;Rua Uruguai, 1225;-22.966872;-43.181368
Copacabana;3;1;0;145;3800.0;1800.0;270.0;Rua Conde de Bonfim, 232;-22.969168;-43.179961
Portuguesa;2;1;0;50;1100.0;330.0;25.0;Rua Figueiredo Magalhães, 768;-22.796631;-43.212607
Ipanema;3;2;1;163;7000.0;3900.0;0.0;Rua do Sacopã, 369;-22.989591;-43.208436
Copacabana;3;1;1;160;4500.0;1000.0;0.0;Avenida Timóteo da Costa, 744;-22.965177;-43.181477
Lagoa;4;3;1;165;8000.0;1810.0;520.0;Rua Álvaro Ramos, 432;-22.971959;-43.209144
Leblon;3;2;3;135;13500.0;2266.0;500.0;Rua Silva Rabelo, 893;-22.988962;-43.219075
Leblon;4;2;1;210;15500.0;2575.0;590.0;Avenida Barata Ribeiro, 1006;-22.983554;-43.227517
Tijuca;3;1;0;125;2500.0;1100.0;200.0;Rua Marquês de Abrantes, 1015;-22.930217;-43.234459
Laranjeiras;2;0;0;88;2400.0;650.0;105.0;Avenida Visconde de Pirajá, 156;-22.933417;-43.18085
Grajaú;2;0;0;51;1100.0;487.0;20.0;Rua General San Martin, 709;-22.935726;-43.245811
Catete;1;0;0;39;1500.0;400.0;20.0;Rua General Polidoro, 1424;-22.924851;-43.176903
Copacabana;2;1;0;100;2500.0;1222.0;151.0;Rua Timóteo da Costa, 1449;-22.969828;-43.184351
Rocha;3;0;0;72;1100.0;200.0;14.0;Rua Timóteo da Costa, 1378;-22.895747;-43.2411
Leme;2;1;0;80;3800.0;1128.0;24.0;Rua São João Batista, 496;-22.964265;-43.163703
Leblon;1;0;0;42;3200.0;550.0;260.0;Avenida Aristides Espínola, 628;-22.987279;-43.225953
Recreio dos Bandeirantes;3;2;1;197;2800.0;1020.0;400.0;Rua das Acácias, 874;-23.020275;-43.463337
Centro;2;1;0;67;2100.0;680.0;0.0;Rua General Polidoro, 1296;-22.90258;-43.171564
Barra da Tijuca;2;1;1;72;1600.0;971.0;0.0;Rua Voluntários da Pátria, 678;-23.003826;-43.35924
Leblon;4;1;0;138;7000.0;1500.0;0.0;Avenida Timóteo da Costa, 621;-22.984569;-43.219939
Barra da Tijuca;2;1;2;78;1700.0;982.0;183.0;Rua Figueiredo Magalhães, 519;-23.008544;-43.370523
Barra da Tijuca;2;1;1;85;1900.0;1335.0;114.0;Rua Dias Ferreira, 1415;-23.00539;-43.36926
Barra da Tijuca;4;1;1;205;4200.0;2537.0;468.0;Rua Dias Ferreira, 969;-23.00771;-43.362783
Copacabana;1;0;0;41;2800.0;407.0;68.0;Avenida Santa Clara, 132;-22.96585;-43.184812
Barra da Tijuca;2;1;2;117;4000.0;1900.0;200.0;Rua Silva Rabelo, 471;-23.006201;-43.37092
Leblon;1;1;1;86;5500.0;1300.0;312.0;Avenida Dias Ferreira, 444;-22.981487;-43.226966
Barra da Tijuca;4;2;1;156;5000.0;2261.0;0.0;Rua Barão de Ipanema, 1334;-23.00782;-43.365066
Recreio dos Bandeirantes;3;2;1;180;3500.0;1097.0;0.0;Avenida Bolívar, 451;-23.020438;-43.466106
Freguesia (Jacarepaguá);3;2;1;230;1900.0;900.0;2000.0;Rua Vinícius de Moraes, 580;-22.933106;-43.344978
Ipanema;1;1;1;107;10000.0;2907.0;698.0;Rua São João Batista, 540;-22.98277;-43.209913
Copacabana;2;1;0;75;2900.0;730.0;132.0;Avenida Bartolomeu Mitre, 1434;-22.971198;-43.18024
Ipanema;3;2;1;147;7000.0;1050.0;250.0;Rua Voluntários da Pátria, 1254;-22.983632;-43.208771
Península;4;2;2;150;6000.0;2000.0;0.0;Rua Bartolomeu Mitre, 1304;-23.006057;-43.314354
Barra da Tijuca;2;2;1;116;6000.0;3000.0;470.0;Rua General San Martin, 472;-23.002549;-43.36909
Ipanema;3;2;1;300;12500.0;16845.0;406.0;Rua das Acácias, 1432;-22.987363;-43.207814
Copacabana;1;0;0;40;1600.0;630.0;70.0;Rua General San Martin, 219;-22.965385;-43.183295
Recreio dos Bandeirantes;3;1;1;87;1800.0;800.0;200.0;Rua Marquês de Abrantes, 935;-23.018509;-43.467649
Ipanema;4;2;4;350;30000.0;5700.0;0.0;Avenida São João Batista, 1089;-22.989112;-43.207839
Barra da Tijuca;2;1;1;90;2600.0;1000.0;242.0;Rua São Clemente, 405;-23.005491;-43.369606
Leblon;3;1;1;120;13499.0;1459.0;370.0;Rua Aristides Espínola, 555;-22.985181;-43.2289
Quintino Bocaiúva;1;1;0;35;650.0;314.0;0.0;Rua Barão de Ipanema, 1071;-22.878544;-43.318078
Rio Comprido;2;0;0;65;1000.0;450.0;25.0;Rua Real Grandeza, 1004;-22.918341;-43.218379
Leblon;3;2;1;200;7500.0;3300.0;840.0;Rua Vinícius de Moraes, 1303;-22.978726;-43.221127
Lagoa;2;2;1;98;3800.0;795.0;2765.0;Rua Conde de Bonfim, 1266;-22.970627;-43.199528
Barra da Tijuca;1;1;1;68;2200.0;1400.0;0.0;Rua Conde de Bonfim, 351;-23.006583;-43.359576
Recreio dos Bandeirantes;3;2;1;90;1600.0;1021.0;155.0;Rua Aristides Espínola, 1109;-23.028298;-43.463076
Barra da Tijuca;3;1;1;78;1900.0;1173.0;0.0;Avenida Mena Barreto, 653;-23.004379;-43.366161
Freguesia (Jacarepaguá);2;0;0;50;1000.0;265.0;17.0;Rua Silva Rabelo, 610;-22.937679;-43.339297
Flamengo;3;2;1;170;6000.0;1450.0;563.0;Rua General Polidoro, 91;-22.937061;-43.175288
Anil;3;2;3;77;1800.0;454.0;0.0;Rua Figueiredo Magalhães, 609;-22.954676;-43.352606
Tijuca;3;0;0;110;1800.0;800.0;196.0;Rua Visconde de Pirajá, 775;-22.927372;-43.236616
Copacabana;5;1;2;389;12400.0;4162.0;1153.0;Rua General Polidoro, 236;-22.969707;-43.177816
Leblon;4;3;3;509;25000.0;4819.0;2329.0;Rua Bolívar, 1158;-22.986102;-43.22108
Jardim Botânico;3;2;1;105;5200.0;1100.0;350.0;Avenida Álvaro Ramos, 530;-22.971738;-43.22989
Leblon;3;1;1;155;8500.0;1500.0;500.0;Rua Voluntários da Pátria, 722;-22.988799;-43.223457
Copacabana;1;0;1;105;5660.0;940.0;0.0;Avenida Álvaro Ramos, 1177;-22.969734;-43.183193
Barra da Tijuca;4;4;3;360;22000.0;5700.0;2059.0;Rua São Clemente, 1180;-23.00186;-43.370761
Ipanema;4;4;2;360;20000.0;6000.0;2400.0;Avenida Figueiredo Magalhães, 1264;-22.986862;-43.21249
São Cristóvão;1;1;0;60;1100.0;400.0;11.0;Rua das Flores, 22;-22.890442;-43.222531
São Conrado;2;1;2;103;3600.0;890.0;0.0;Rua Bolívar, 644;-22.997326;-43.258
Barra da Tijuca;4;2;2;250;4500.0;1562.0;760.0;Rua São João Batista, 1448;-23.000417;-43.368767
Copacabana;2;1;0;77;2600.0;674.0;157.0;Avenida Prudente de Morais, 1217;-22.970591;-43.178931
Lagoa;2;2;1;100;3600.0;750.0;0.0;Rua General San Martin, 1389;-22.975989;-43.201823
Leme;2;0;0;75;2800.0;918.0;0.0;Avenida das Acácias, 545;-22.968207;-43.167351
Realengo;2;0;0;49;900.0;68.0;0.0;Rua do Sacopã, 47;-22.8758;-43.434902
Tijuca;2;0;0;65;1500.0;710.0;61.0;Rua das Laranjeiras, 569;-22.925341;-43.23938
Copacabana;3;0;0;140;3500.0;1000.0;120.0;Rua Barata Ribeiro, 574;-22.977018;-43.185482
Copacabana;3;2;1;200;6000.0;1100.0;200.0;Rua Uruguai, 1009;-22.968393;-43.17842
Maracanã;2;1;1;91;2400.0;800.0;0.0;Rua Visconde de Pirajá, 101;-22.915741;-43.229962
São Conrado;2;1;1;80;3000.0;1100.0;0.0;Rua Prudente de Morais, 969;-22.994099;-43.257717
Botafogo;3;1;0;115;4400.0;968.0;188.0;Rua Bartolomeu Mitre, 516;-22.950978;-43.191567
Jacarepaguá;2;1;1;63;1200.0;430.0;69.0;Rua Vinícius de Moraes, 498;-22.953976;-43.36334
São Conrado;3;2;1;130;6000.0;2172.0;450.0;Avenida Voluntários da Pátria, 599;-22.995553;-43.258372
Barra da Tijuca;4;4;4;260;11000.0;2300.0;899.0;Rua São João Batista, 549;-23.004749;-43.364121
Recreio dos Bandeirantes;2;2;1;92;3300.0;1409.0;0.0;Rua Dias Ferreira, 240;-23.024306;-43.464355
Vargem Pequena;3;1;0;80;890.0;400.0;13.0;Rua Figueiredo Magalhães, 1282;-22.981499;-43.463224
Recreio dos Bandeirantes;2;3;1;120;2000.0;650.0;240.0;Rua Bartolomeu Mitre, 1033;-23.02741;-43.465683
Botafogo;3;1;1;102;5600.0;1310.0;0.0;Avenida Santa Clara, 13;-22.947409;-43.186975
Copacabana;3;2;1;140;4500.0;1470.0;0.0;Rua Vinícius de Moraes, 1016;-22.966153;-43.178738
Lagoa;2;0;0;70;1800.0;782.0;0.0;Rua das Camélias, 917;-22.975429;-43.197952
Recreio dos Bandeirantes;3;1;2;87;1150.0;1008.0;0.0;Avenida das Laranjeiras, 1117;-23.023926;-43.469746
Flamengo;1;0;1;41;1700.0;300.0;0.0;Avenida do Sacopã, 1228;-22.93227;-43.170471
Tijuca;3;2;1;110;2800.0;1100.0;0.0;Rua Figueiredo Magalhães, 859;-22.929871;-43.22927
Barra da Tijuca;4;3;4;230;15000.0;2924.0;4800.0;Rua das Acácias, 1279;-22.998803;-43.368228
Barra da Tijuca;2;1;1;70;1500.0;604.0;59.0;Rua Prudente de Morais, 1110;-23.010343;-43.368909
Recreio dos Bandeirantes;2;1;1;91;1500.0;925.0;136.0;Avenida Ataulfo de Paiva, 1136;-23.024434;-43.46768
Barra da Tijuca;3;2;3;210;4500.0;1620.0;542.0;Avenida Uruguai, 387;-23.002906;-43.36692
Ipanema;4;5;3;370;30000.0;7000.0;2500.0;Avenida Uruguai, 1372;-22.978449;-43.212474
Botafogo;2;1;2;83;4520.0;1140.0;198.0;Rua Ataulfo de Paiva, 518;-22.955182;-43.189947
Copacabana;2;0;1;90;4000.0;700.0;90.0;Rua Ataulfo de Paiva, 639;-22.971097;-43.187169
Jacarepaguá;2;1;0;64;2100.0;650.0;416.0;Rua Silva Rabelo, 79;-22.961338;-43.361318
Copacabana;2;1;1;80;3200.0;1033.0;230.0;Rua Barão de Ipanema, 331;-22.975246;-43.184513
Leme;3;0;1;130;3200.0;1000.0;240.0;Rua Uruguai, 937;-22.967421;-43.170676
Barra da Tijuca;2;1;1;90;2500.0;1034.0;207.0;Rua Álvaro Ramos, 679;-22.999587;-43.362743
Humaitá;2;1;0;90;3000.0;820.0;160.0;Rua das Camélias, 1183;-22.952546;-43.194838
Arpoador;3;1;1;190;16000.0;2800.0;0.0;Rua Silva Rabelo, 1454;-22.99144;-43.197168
São Cristóvão;2;0;0;61;1100.0;230.0;0.0;Rua Visconde de Pirajá, 659;-22.891615;-43.216862
Leme;1;0;1;40;2600.0;386.0;72.0;Rua Barão de Ipanema, 112;-22.967946;-43.170029
Leblon;3;2;1;140;7500.0;2600.0;558.0;Rua Figueiredo Magalhães, 452;-22.985972;-43.219393
Flamengo;4;1;1;240;6000.0;2200.0;710.0;Avenida das Laranjeiras, 437;-22.927579;-43.177662
Copacabana;3;1;1;151;3500.0;1350.0;387.0;Rua Conde de Bonfim, 628;-22.974016;-43.185955
Flamengo;2;1;1;90;2450.0;1660.0;228.0;Rua das Laranjeiras, 314;-22.930239;-43.175736
Barra da Tijuca;2;1;0;55;1400.0;500.0;38.0;Rua das Camélias, 1447;-23.002298;-43.367966
Barra da Tijuca;2;1;1;90;1400.0;1240.0;1600.0;Rua Dias Ferreira, 874;-22.99919;-43.368426
Laranjeiras;3;1;0;106;3700.0;1326.0;0.0;Rua Bartolomeu Mitre, 212;-22.934571;-43.181047
Barra da Tijuca;4;3;2;175;11000.0;3240.0;980.0;Rua das Laranjeiras, 870;-23.00394;-43.369641
Vila Isabel;3;0;0;95;1600.0;360.0;84.0;Rua das Palmeiras, 10;-22.913356;-43.24588
Barra da Tijuca;4;3;2;278;10000.0;1490.0;0.0;Rua das Acácias, 162;-23.000043;-43.367195
Botafogo;2;0;0;85;2400.0;744.0;152.0;Rua Prudente de Morais, 480;-22.948477;-43.192021
Irajá;2;1;0;69;1100.0;370.0;0.0;Rua do Sacopã, 933;-22.829166;-43.32161
Botafogo;2;1;1;92;2200.0;1430.0;236.0;Rua Prudente de Morais, 314;-22.953454;-43.186587
Copacabana;3;1;0;100;2000.0;1474.0;202.0;Rua do Sacopã, 488;-22.967569;-43.184061
Flamengo;1;0;0;45;1800.0;371.0;70.0;Avenida Conde de Bonfim, 1137;-22.930764;-43.170141
Barra da Tijuca;1;1;0;67;1600.0;951.0;176.0;Rua Conde de Bonfim, 813;-22.999348;-43.363087
Barra da Tijuca;3;2;1;150;2300.0;1300.0;0.0;Rua Aristides Espínola, 1155;-22.999169;-43.370974
Pedra de Guaratiba;2;1;0;70;800.0;35.0;0.0;Avenida Mena Barreto, 790;-23.018143;-43.615422
Leblon;5;4;3;350;9000.0;2100.0;817.0;Avenida Álvaro Ramos, 82;-22.979855;-43.228788
Todos os Santos;2;1;0;76;1300.0;683.0;80.0;Rua Álvaro Ramos, 1053;-22.904553;-43.275512
Botafogo;1;0;0;24;1500.0;470.0;24.0;Rua São Clemente, 1276;-22.951297;-43.183297
Lins de Vasconcelos;1;1;0;42;1050.0;504.0;16.0;Avenida Real Grandeza, 1343;-22.900411;-43.252723
Jardim Botânico;3;2;3;250;8000.0;2350.0;850.0;Rua Silva Rabelo, 126;-22.972337;-43.219338
Barra da Tijuca;4;3;4;340;4500.0;1979.0;630.0;Avenida Uruguai, 745;-23.005715;-43.359803
Ipanema;2;1;0;215;7000.0;2400.0;524.0;Rua Barão de Ipanema, 983;-22.980777;-43.209141
Copacabana;2;0;1;140;6800.0;800.0;0.0;Rua Prudente de Morais, 402;-22.975338;-43.180326
Lins de Vasconcelos;2;1;0;50;700.0;297.0;14.0;Avenida Bolívar, 1023;-22.893701;-43.258921
Rio Comprido;1;1;0;99;1000.0;777.0;68.0;Rua Aristides Espínola, 1104;-22.91586;-43.215175
Rocha Miranda;3;0;0;65;550.0;295.0;0.0;Rua Dias Ferreira, 1361;-22.864175;-43.340175
Lagoa;4;2;1;250;7300.0;2700.0;800.0;Rua Dias Ferreira, 385;-22.978519;-43.197607
Barra da Tijuca;2;1;1;83;1600.0;1350.0;0.0;Rua das Palmeiras, 204;-23.002207;-43.362175
Centro;1;0;0;56;1900.0;917.0;2004.0;Rua Mena Barreto, 1136;-22.903019;-43.169177
Ipanema;3;1;1;150;6300.0;2200.0;495.0;Rua Prudente de Morais, 256;-22.985224;-43.209687
Ipanema;3;2;1;126;6000.0;1518.0;590.0;Avenida Vinícius de Moraes, 188;-22.982549;-43.214278
Barra da Tijuca;1;2;1;186;3500.0;1400.0;480.0;Avenida General San Martin, 990;-23.001231;-43.368336
Recreio dos Bandeirantes;3;3;2;115;2850.0;1280.0;238.0;Rua General San Martin, 573;-23.025026;-43.471876
Barra da Tijuca;4;2;1;300;8000.0;3200.0;0.0;Rua Conde de Bonfim, 409;-23.00092;-43.361487
Leme;3;1;1;185;6200.0;1758.0;677.0;Rua Marquês de Abrantes, 1012;-22.967825;-43.169735
Leme;1;0;0;26;1100.0;605.0;26.0;Rua Silva Rabelo, 761;-22.963506;-43.169761
Copacabana;3;1;1;130;3200.0;1550.0;187.0;Rua Mena Barreto, 340;-22.966634;-43.18615
Flamengo;3;2;1;185;10000.0;1500.0;360.0;Avenida Aristides Espínola, 1072;-22.935077;-43.174451
São Cristóvão;1;0;0;41;1000.0;130.0;0.0;Rua das Palmeiras, 139;-22.89032;-43.228491
Barra da Tijuca;1;1;1;70;2200.0;1118.0;236.0;Rua Timóteo da Costa, 475;-23.002537;-43.365876
Braz de Pina;2;1;0;80;1200.0;300.0;0.0;Rua Voluntários da Pátria, 754;-22.824484;-43.303994
Engenho de Dentro;3;1;1;60;1600.0;538.0;0.0;Rua Barão de Ipanema, 1202;-22.895461;-43.27995
Campo Grande;2;1;0;65;450.0;220.0;0.0;Avenida Vinícius de Moraes, 951;-22.89907;-43.557701
Flamengo;3;1;1;312;7500.0;3800.0;886.0;Rua Timóteo da Costa, 990;-22.928475;-43.176216
Leblon;2;1;1;90;9000.0;1278.0;0.0;Rua São Clemente, 739;-22.978208;-43.219337
Copacabana;3;0;0;107;3200.0;600.0;0.0;Rua Prudente de Morais, 1496;-22.966626;-43.183202
Barra da Tijuca;4;2;2;149;4200.0;1800.0;0.0;Rua Real Grandeza, 697;-23.004708;-43.36872
Copacabana;4;2;2;389;11800.0;4133.0;1153.0;Rua Mena Barreto, 103;-22.970925;-43.177161
Freguesia (Jacarepaguá);4;2;1;110;3000.0;950.0;1559.0;Rua Dias Ferreira, 824;-22.935298;-43.348766
Pechincha;2;1;1;69;1400.0;360.0;41.0;Rua Prudente de Morais, 1381;-22.918242;-43.343903
São Conrado;3;2;0;121;3800.0;1440.0;226.0;Avenida das Camélias, 252;-22.997683;-43.263691
Ipanema;3;2;1;140;5000.0;2500.0;500.0;Rua Barão de Ipanema, 115;-22.987698;-43.212804
Cordovil;2;0;0;44;1200.0;315.0;0.0;Rua das Acácias, 169;-22.832284;-43.285816
São Conrado;4;2;1;147;9000.0;2180.0;458.0;Rua das Flores, 379;-22.997994;-43.26276
Copacabana;3;0;1;115;3000.0;1250.0;170.0;Rua Mena Barreto, 962;-22.968027;-43.176527
Higienópolis;1;0;0;45;700.0;130.0;0.0;Rua das Acácias, 329;-22.876919;-43.270181
Leme;4;2;0;175;3700.0;1906.0;381.0;Avenida Voluntários da Pátria, 143;-22.962141;-43.169941
Leblon;2;1;0;75;3900.0;1100.0;202.0;Rua do Sacopã, 962;-22.989407;-43.22605
Abolição;2;0;0;43;800.0;341.0;14.0;Avenida São Clemente, 1365;-22.890831;-43.289852
Ipanema;1;2;1;80;3800.0;1400.0;0.0;Avenida Mena Barreto, 811;-22.979003;-43.209378
Barra da Tijuca;1;0;0;30;1800.0;590.0;0.0;Rua Barata Ribeiro, 435;-23.00962;-43.359316
Laranjeiras;2;1;1;115;3800.0;984.0;136.0;Rua Prudente de Morais, 960;-22.939143;-43.185176
Barra da Tijuca;2;1;0;80;1600.0;797.0;110.0;Rua Conde de Bonfim, 86;-23.008816;-43.370791
Água Santa;2;1;0;50;800.0;310.0;0.0;Avenida Vinícius de Moraes, 1207;-22.898277;-43.289333
Copacabana;1;0;0;45;1500.0;460.0;71.0;Avenida General San Martin, 996;-22.972759;-43.183687
Pechincha;2;1;0;46;900.0;420.0;19.0;Rua do Sacopã, 34;-22.914556;-43.337327
Campo Grande;2;1;0;60;750.0;350.0;0.0;Avenida do Sacopã, 469;-22.905981;-43.555367
Cachambi;2;1;0;64;1700.0;632.0;0.0;Rua Bolívar, 1077;-22.888398;-43.272354
Glória;2;1;0;55;2200.0;438.0;0.0;Rua Conde de Bonfim, 888;-22.918462;-43.173417
Recreio dos Bandeirantes;4;3;2;190;3500.0;866.0;397.0;Rua General Polidoro, 1314;-23.029729;-43.466273
Estácio;2;1;0;70;1480.0;660.0;12.0;Rua Álvaro Ramos, 1206;-22.918537;-43.213117
Tijuca;2;0;0;60;1900.0;600.0;51.0;Rua Vinícius de Moraes, 761;-22.925888;-43.236337
Jardim Botânico;2;2;1;130;4000.0;1732.0;425.0;Rua São Clemente, 33;-22.969815;-43.22556
Barra da Tijuca;3;2;1;106;3300.0;1490.0;2960.0;Rua Ataulfo de Paiva, 512;-23.01048;-43.362806
Recreio dos Bandeirantes;2;0;0;90;1800.0;640.0;120.0;Rua Mena Barreto, 1234;-23.025804;-43.465034
Leblon;2;1;2;162;8000.0;1136.0;519.0;Avenida Mena Barreto, 75;-22.986438;-43.228552
Copacabana;3;0;1;113;4000.0;730.0;1258.0;Rua Uruguai, 965;-22.967334;-43.187958
Pechincha;2;0;0;48;700.0;305.0;16.0;Rua São João Batista, 239;-22.918867;-43.340924
Lagoa;4;2;1;250;6200.0;2324.0;0.0;Rua Santa Clara, 754;-22.97496;-43.199667
Barra da Tijuca;4;4;4;370;8000.0;4200.0;0.0;Rua Barata Ribeiro, 120;-22.998642;-43.366322
Ipanema;2;2;2;100;6500.0;2100.0;460.0;Rua Barão de Ipanema, 94;-22.980402;-43.214787
Barra da Tijuca;1;1;1;70;2300.0;1250.0;180.0;Rua Voluntários da Pátria, 623;-23.008191;-43.365733
Andaraí;1;1;0;69;1500.0;496.0;88.0;Rua das Camélias, 478;-22.929327;-43.25207
Irajá;3;1;0;56;1200.0;375.0;0.0;Rua Vinícius de Moraes, 146;-22.829894;-43.325914
Barra da Tijuca;3;2;1;117;4500.0;990.0;624.0;Avenida Timóteo da Costa, 787;-23.008257;-43.360508
Tijuca;2;0;1;72;1800.0;535.0;0.0;Rua dos Ipês, 976;-22.920873;-43.238423
Barra da Tijuca;5;3;4;403;20000.0;3690.0;6000.0;Rua Ataulfo de Paiva, 1286;-23.005108;-43.362146
Méier;2;1;0;100;1350.0;600.0;114.0;Rua Ataulfo de Paiva, 201;-22.90717;-43.285692
Freguesia (Jacarepaguá);3;2;1;110;1700.0;800.0;0.0;Rua das Flores, 1108;-22.94295;-43.349027
São Conrado;3;2;1;400;15500.0;1800.0;700.0;Rua Bolívar, 768;-22.99912;-43.26352
Botafogo;2;0;0;75;1800.0;665.0;90.0;Rua do Sacopã, 263;-22.953968;-43.189834
Tijuca;5;1;0;220;3200.0;1200.0;254.0;Rua General San Martin, 1484;-22.927841;-43.228886
Humaitá;2;0;0;90;2400.0;815.0;0.0;Rua das Acácias, 1300;-22.953765;-43.200336
Leblon;2;3;1;100;3500.0;1350.0;363.0;Rua Timóteo da Costa, 968;-22.978848;-43.223846
Ipanema;3;1;0;120;5800.0;900.0;220.0;Rua Ataulfo de Paiva, 154;-22.988084;-43.214928
Leblon;3;2;1;340;10000.0;3800.0;1100.0;Rua Vinícius de Moraes, 1044;-22.984455;-43.219173
Copacabana;3;1;1;130;5500.0;1300.0;297.0;Rua do Sacopã, 1072;-22.967457;-43.185329
Barra da Tijuca;2;1;1;83;1500.0;1306.0;201.0;Rua Uruguai, 1214;-23.006851;-43.366349
Copacabana;1;0;0;50;1600.0;600.0;0.0;Rua Conde de Bonfim, 1394;-22.97276;-43.180692
Tijuca;3;1;1;110;2400.0;800.0;0.0;Rua das Flores, 1437;-22.92225;-43.237666
Jardim Botânico;2;1;1;86;4000.0;1090.0;0.0;Rua das Camélias, 662;-22.972161;-43.221517
Freguesia (Jacarepaguá);3;1;1;75;1200.0;640.0;0.0;Rua Prudente de Morais, 1144;-22.938257;-43.344498
Barra da Tijuca;3;2;1;146;5900.0;2300.0;350.0;Rua Ataulfo de Paiva, 1156;-23.004108;-43.359782
Campo Grande;3;1;0;70;900.0;370.0;0.0;Avenida São João Batista, 1178;-22.907312;-43.553365
Icaraí;2;1;0;90;1800.0;890.0;209.0;Avenida Voluntários da Pátria, 496;-22.902674;-43.110227
Vila Isabel;2;1;1;84;1600.0;540.0;92.0;Rua do Sacopã, 1251;-22.924361;-43.249377
Ipanema;2;1;1;100;5000.0;2814.0;338.0;Rua São Clemente, 1361;-22.980164;-43.208892
Tijuca;1;0;0;45;1200.0;315.0;21.0;Avenida das Camélias, 1448;-22.923736;-43.235786
Barra da Tijuca;2;1;0;64;2400.0;680.0;210.0;Avenida Mena Barreto, 1169;-23.002965;-43.364207
Barra da Tijuca;5;3;4;300;7350.0;2000.0;10000.0;Rua Vinícius de Moraes, 1111;-23.009075;-43.359502
Copacabana;4;1;4;240;9000.0;2500.0;6000.0;Rua Mena Barreto, 503;-22.972289;-43.188099
Copacabana;3;0;2;120;4200.0;1100.0;120.0;Rua Visconde de Pirajá, 564;-22.971629;-43.179784
Jacarepaguá;2;1;1;70;1400.0;640.0;300.0;Rua General San Martin, 551;-22.960523;-43.361378
Barra da Tijuca;2;1;2;80;3000.0;1280.0;0.0;Rua General San Martin, 1161;-23.007889;-43.368359
Jardim Botânico;1;0;0;37;2700.0;256.0;108.0;Rua Dias Ferreira, 734;-22.96728;-43.220252
Lagoa;2;2;1;152;6000.0;1411.0;620.0;Rua Bartolomeu Mitre, 158;-22.978392;-43.205115
Freguesia (Jacarepaguá);3;1;0;113;800.0;1530.0;0.0;Rua Real Grandeza, 1254;-22.943373;-43.349448
Taquara;2;1;1;54;1200.0;520.0;159.0;Rua Voluntários da Pátria, 888;-22.923154;-43.361627
Ipanema;2;1;0;110;13000.0;1385.0;0.0;Avenida Ataulfo de Paiva, 1409;-22.978119;-43.211424
Rio Comprido;2;1;0;63;1500.0;701.0;0.0;Rua das Palmeiras, 59;-22.909957;-43.217403
Piedade;2;1;1;50;1000.0;310.0;15.0;Rua das Palmeiras, 63;-22.875961;-43.285328
Tijuca;1;0;0;24;1000.0;400.0;0.0;Avenida Silva Rabelo, 136;-22.930027;-43.235285
Leblon;4;2;1;184;12000.0;2100.0;700.0;Rua General Polidoro, 185;-22.985985;-43.223877
Leblon;3;1;1;150;6700.0;1900.0;500.0;Rua das Palmeiras, 68;-22.988976;-43.224467
Copacabana;1;0;0;29;1600.0;520.0;26.0;Rua das Camélias, 1029;-22.971078;-43.179435
Catete;1;0;0;20;1200.0;154.0;0.0;Rua Barata Ribeiro, 294;-22.925092;-43.173125
Copacabana;3;1;1;90;2300.0;1311.0;150.0;Rua Bolívar, 50;-22.96866;-43.184171
Estácio;2;1;0;80;1600.0;870.0;15.0;Rua Bolívar, 463;-22.908178;-43.203644
Santa Teresa;2;0;1;76;1300.0;280.0;12.0;Rua General San Martin, 452;-22.925325;-43.190119
